id,Condition,phase,item_id,share,share01
5c5c4b7a2c7c760001c7f908,Control,pre,Emotion-2-tripl,4,0.5
5f95f7f71193824c90e0b5ef,GoViral,pre,Emotion-2-tripl,1,0.0
5cf4639d71f19f0018738259,GoViral,pre,Emotion-2-tripl,2,0.16666666666666666
5849916abb147f0001786ac5,GoViral,pre,Emotion-2-tripl,3,0.3333333333333333
5efcba6a37fb0b097039fe69,GoViral,pre,Emotion-2-tripl,1,0.0
5f4fdc5c17b4c210b9f57f4e,GoViral,pre,Emotion-2-tripl,2,0.16666666666666666
5f19a19756b453000a79f83b,Infographics,pre,Emotion-2-tripl,1,0.0
5dda787ac944d19d99bdcfdf,GoViral,pre,Emotion-2-tripl,1,0.0
5eb95724a8ea5302fce03da2,GoViral,pre,Emotion-2-tripl,1,0.0
5b1d413544127b00013fea42,Control,pre,Emotion-2-tripl,1,0.0
5e2abe71c449a810e90ce7c1,Control,pre,Emotion-2-tripl,1,0.0
5eafe9688486a700092b7aa1,Control,pre,Emotion-2-tripl,2,0.16666666666666666
5cd043b25b04850017e5d028,Control,pre,Emotion-2-tripl,2,0.16666666666666666
5ea0627f31802801d5675c08,Control,pre,Emotion-2-tripl,1,0.0
